open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,can_be_ignored
1680311640000,28440.02,28440.03,28432.83,28432.83,8.77634,1680311699999,249554.9827228,364,2.82211,80241.5076775,0
1680311700000,28432.83,28435.0,28430.1,28430.1,7.0433,1680311759999,200259.3069731,403,3.38793,96327.2236217,0
1680311760000,28430.11,28445.9,28430.0,28445.89,8.4463,1680311819999,240181.8946921,550,5.93036,168642.6439074,0
1680311820000,28445.89,28449.99,28445.89,28448.69,35.99983,1680311879999,1024183.1298905,496,27.37301,778751.9275944,0
1680311880000,28448.69,28448.7,28443.81,28444.81,28.72645,1680311939999,817141.2479558,531,19.66265,559308.6163277,0
1680311940000,28444.81,28449.99,28442.98,28449.99,10.21584,1680311999999,290602.3379522,470,5.78333,164514.7679133,0
1680312000000,28449.99,28449.99,28446.1,28449.26,20.13215,1680312059999,572730.0366722,500,4.41239,125522.7054424,0
1680312060000,28449.25,28449.26,28437.75,28440.08,11.61466,1680312119999,330328.4300551,483,5.52835,157217.4124485,0
1680312120000,28440.08,28444.99,28439.78,28444.98,6.19323,1680312179999,176146.8760776,365,4.3257,123030.4365637,0
1680312180000,28444.99,28447.73,28439.35,28439.35,8.1436,1680312239999,231637.0228501,435,4.39668,125059.7849469,0
1680312240000,28439.36,28449.89,28439.35,28449.89,5.75891,1680312299999,163810.6809966,462,3.88967,110640.6479611,0
1680312300000,28449.89,28449.99,28449.85,28449.98,6.05127,1680312359999,172158.2350716,302,4.67268,132937.4700669,0
1680312360000,28449.99,28449.99,28440.95,28440.95,11.90783,1680312419999,338740.0295254,471,1.53299,43603.6876612,0
1680312420000,28440.96,28449.99,28440.95,28447.72,15.5683,1680312479999,442890.3025367,542,3.94359,112174.3835037,0
1680312480000,28447.71,28449.69,28438.37,28438.37,17.50379,1680312539999,497885.9011646,540,5.34411,152024.9424483,0
1680312540000,28438.38,28438.38,28434.7,28437.58,15.20382,1680312599999,432341.2186429,350,7.69002,218669.2347994,0
1680312600000,28437.59,28449.99,28437.58,28448.91,21.54429,1680312659999,612886.1531673,623,14.28298,406313.0347212,0
1680312660000,28448.91,28452.88,28448.91,28452.88,16.26095,1680312719999,462623.79621,424,13.47485,383359.326175,0
1680312720000,28452.87,28452.97,28446.81,28452.94,15.85746,1680312779999,451159.3897028,533,8.35119,237594.9889339,0
1680312780000,28452.94,28459.56,28452.52,28459.55,32.60692,1680312839999,927777.0476501,473,26.62191,757481.6407207,0
1680312840000,28459.56,28485.98,28459.55,28485.97,30.19441,1680312899999,859669.5104952,803,28.18932,802566.8430706,0
1680312900000,28485.97,28486.99,28473.07,28473.07,43.76683,1680312959999,1246655.5995942,643,15.20666,433151.5441445,0
1680312960000,28473.08,28473.08,28455.07,28455.07,11.70904,1680313019999,333289.2416825,506,1.95927,55767.5336723,0
1680313020000,28455.07,28455.08,28450.01,28451.41,17.32209,1680313079999,492856.5365609,448,8.29147,235899.8542972,0
1680313080000,28451.4,28459.92,28450.26,28459.92,9.06437,1680313139999,257917.6761604,529,6.3134,179643.0339696,0
1680313140000,28459.91,28461.16,28455.84,28456.81,20.34837,1680313199999,579088.7179581,487,12.91953,367680.433479,0
